날짜,제품명,카테고리,수량,단가,총액,지역,고객등급
2024-01-15,노트북,전자제품,2,1500000,3000000,서울,VIP
2024-01-16,무선마우스,전자제품,5,35000,175000,부산,일반
2024-01-16,키보드,전자제품,3,89000,267000,대구,우수
2024-01-17,모니터,전자제품,1,450000,450000,인천,VIP
2024-01-18,책상,가구,2,250000,500000,서울,우수
2024-01-19,의자,가구,4,180000,720000,광주,일반
2024-01-20,노트북,전자제품,1,1500000,1500000,대전,VIP
2024-01-21,USB메모리,전자제품,10,25000,250000,서울,일반
2024-01-22,헤드셋,전자제품,3,75000,225000,부산,우수
2024-01-23,웹캠,전자제품,2,95000,190000,대구,일반
2024-01-24,책장,가구,1,320000,320000,인천,우수
2024-01-25,스탠드,가구,6,55000,330000,서울,일반
2024-01-26,태블릿,전자제품,2,800000,1600000,광주,VIP
2024-01-27,마우스패드,전자제품,8,15000,120000,대전,일반
2024-01-28,노트북,전자제품,3,1500000,4500000,서울,VIP
2024-01-29,모니터,전자제품,2,450000,900000,부산,우수
2024-01-30,책상,가구,1,250000,250000,대구,일반
2024-02-01,의자,가구,3,180000,540000,인천,우수
2024-02-02,키보드,전자제품,4,89000,356000,서울,일반
2024-02-03,무선마우스,전자제품,6,35000,210000,광주,VIP
2024-02-04,헤드셋,전자제품,2,75000,150000,대전,우수
2024-02-05,노트북,전자제품,1,1500000,1500000,서울,VIP
2024-02-06,USB메모리,전자제품,15,25000,375000,부산,일반
2024-02-07,웹캠,전자제품,3,95000,285000,대구,우수
2024-02-08,태블릿,전자제품,1,800000,800000,인천,VIP
2024-02-09,책장,가구,2,320000,640000,서울,우수
2024-02-10,스탠드,가구,5,55000,275000,광주,일반
2024-02-11,모니터,전자제품,2,450000,900000,대전,VIP
2024-02-12,마우스패드,전자제품,10,15000,150000,서울,일반
2024-02-13,노트북,전자제품,2,1500000,3000000,부산,VIP
